Epoch: [48 | 120] | Train Time: 66.00 s | BP Average: 4.84 | Natural Test Acc 0.77 | FGSM Test Acc 0.42 | PGD20 Test Acc 0.21 | CW Test Acc 0.22 |

Epoch: [49 | 120] | Train Time: 66.00 s | BP Average: 4.87 | Natural Test Acc 0.81 | FGSM Test Acc 0.42 | PGD20 Test Acc 0.19 | CW Test Acc 0.20 |

Epoch: [50 | 120] | Train Time: 67.00 s | BP Average: 4.93 | Natural Test Acc 0.81 | FGSM Test Acc 0.44 | PGD20 Test Acc 0.21 | CW Test Acc 0.22 |

Epoch: [51 | 120] | Train Time: 76.00 s | BP Average: 6.16 | Natural Test Acc 0.81 | FGSM Test Acc 0.51 | PGD20 Test Acc 0.29 | CW Test Acc 0.29 |

Epoch: [52 | 120] | Train Time: 77.00 s | BP Average: 6.29 | Natural Test Acc 0.82 | FGSM Test Acc 0.49 | PGD20 Test Acc 0.27 | CW Test Acc 0.27 |

Epoch: [53 | 120] | Train Time: 78.00 s | BP Average: 6.30 | Natural Test Acc 0.81 | FGSM Test Acc 0.50 | PGD20 Test Acc 0.29 | CW Test Acc 0.29 |

Epoch: [54 | 120] | Train Time: 77.00 s | BP Average: 6.27 | Natural Test Acc 0.82 | FGSM Test Acc 0.47 | PGD20 Test Acc 0.25 | CW Test Acc 0.26 |

Epoch: [55 | 120] | Train Time: 77.00 s | BP Average: 6.25 | Natural Test Acc 0.81 | FGSM Test Acc 0.47 | PGD20 Test Acc 0.26 | CW Test Acc 0.27 |

Epoch: [56 | 120] | Train Time: 77.00 s | BP Average: 6.15 | Natural Test Acc 0.82 | FGSM Test Acc 0.49 | PGD20 Test Acc 0.27 | CW Test Acc 0.28 |

Epoch: [57 | 120] | Train Time: 77.00 s | BP Average: 6.23 | Natural Test Acc 0.81 | FGSM Test Acc 0.50 | PGD20 Test Acc 0.29 | CW Test Acc 0.30 |

Epoch: [58 | 120] | Train Time: 77.00 s | BP Average: 6.19 | Natural Test Acc 0.82 | FGSM Test Acc 0.49 | PGD20 Test Acc 0.26 | CW Test Acc 0.27 |

Epoch: [59 | 120] | Train Time: 76.00 s | BP Average: 6.17 | Natural Test Acc 0.81 | FGSM Test Acc 0.47 | PGD20 Test Acc 0.26 | CW Test Acc 0.27 |

Epoch: [60 | 120] | Train Time: 81.00 s | BP Average: 6.95 | Natural Test Acc 0.85 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [61 | 120] | Train Time: 83.00 s | BP Average: 7.10 | Natural Test Acc 0.85 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [62 | 120] | Train Time: 83.00 s | BP Average: 7.13 | Natural Test Acc 0.85 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [63 | 120] | Train Time: 83.00 s | BP Average: 7.18 | Natural Test Acc 0.85 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [64 | 120] | Train Time: 83.00 s | BP Average: 7.21 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [65 | 120] | Train Time: 83.00 s | BP Average: 7.23 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [66 | 120] | Train Time: 84.00 s | BP Average: 7.24 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [67 | 120] | Train Time: 84.00 s | BP Average: 7.27 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

